Partners,Span,Inns,NO,RunsDescending,High,Ave,Overs,RR,100,50
"Raqibul Hasan, Tamim Iqbal",2008-2008,1,0,9,9,9,1.3,6,0,0
"Anamul Haque, Arafat Sunny",2015-2015,1,0,8,8,8,1.3,5.33,0,0
"Anamul Haque, Mahmudullah",2015-2015,1,0,8,8,8,0.4,12,0,0
"Anamul Haque, Sohag Gazi",2014-2014,1,0,8,8,8,0.3,16,0,0
"Mashrafe Mortaza, Ziaur Rahman",2012-2012,1,0,8,8,8,0.5,9.6,0,0
"Mosaddek Hossain, Shakib Al Hasan",2016-2016,1,0,8,8,8,2.3,3.2,0,0
"Raqibul Hasan, Shafiul Islam",2010-2010,1,0,8,8,8,2.1,3.69,0,0
"Liton Das, Sohag Gazi",2015-2015,1,0,7,7,7,2.2,3,0,0
"Mahmudullah, Nadif Chowdhury",2007-2007,1,0,7,7,7,0.3,14,0,0
"Mehrab Hossain jnr, Naeem Islam",2008-2008,1,0,7,7,7,1.4,4.2,0,0
"Mominul Haque, Ziaur Rahman",2013-2013,1,0,7,7,7,0.4,10.5,0,0
"Abdur Razzak, Abul Hasan",2012-2012,1,0,6,6,6,0.4,9,0,0
"Abul Hasan, Elias Sunny",2012-2012,1,0,6,6,6,1,6,0,0
"Aftab Ahmed, Alok Kapali",2007-2007,2,1,6,6*,6,1.5,3.27,0,0
"Al-Amin Hossain, Mashrafe Mortaza",2013-2013,1,1,6,6*,-,0.5,7.2,0,0
"Al-Amin Hossain, Nasir Hossain",2014-2014,1,0,6,6,6,1.5,3.27,0,0
"Jahurul Islam, Mashrafe Mortaza",2010-2010,1,0,6,6,6,0.5,7.2,0,0
"Mehrab Hossain jnr, Shahadat Hossain",2008-2008,1,1,6,6*,-,1.1,5.14,0,0
"Mustafizur Rahman, Shuvagata Hom",2016-2016,2,0,6,6,3,0.4,9,0,0
"Nasir Hossain, Sabbir Rahman",2014-2014,1,0,6,6,6,2,3,0,0
"Nazmul Hossain, Raqibul Hasan",2010-2010,1,0,6,6,6,1,6,0,0
"Abu Hider, Mashrafe Mortaza",2016-2016,1,0,5,5,5,1.2,3.75,0,0
"Abu Hider, Taskin Ahmed",2016-2016,1,0,5,5,5,0.3,10,0,0
"Al-Amin Hossain, Shuvagata Hom",2016-2016,1,0,5,5,5,0.5,6,0,0
"Elias Sunny, Ziaur Rahman",2012-2012,1,0,5,5,5,0.5,6,0,0
"Mahmudullah, Muktar Ali",2016-2016,1,0,5,5,5,0.4,7.5,0,0
"Raqibul Hasan, Shahadat Hossain",2010-2010,1,0,5,5,5,1,5,0,0
"Abdur Razzak, Ziaur Rahman",2012-2012,1,1,4,4*,-,0.5,4.8,0,0
"Anamul Haque, Mustafizur Rahman",2015-2015,1,0,4,4,4,0.4,6,0,0
"Farhad Reza, Nazimuddin",2008-2008,1,0,4,4,4,1.2,3,0,0
